Reporter	Year	Tariff_Regime	Base nomenclature	Product	Number of subheadings	No_of_National_TL	No_of_AVDuty	AVDuty_avg	AVDuty_min	AVDuty_max	Pct_DutyFree	No_of_Non_AVDuty	List_Non_AVDuty	No_of_TL_DiffDuty	Description
"Sri Lanka"	2009	"Preferential duty rates for Least Developed Countries under the South Asia Free Trade Agreement (SAFTA)"	"HS07"	240220	1	6	5	100	100	100	0	1	"[50% or Rs. 1,570/ per kg gross weight]"	1	"Cigarettes, containing tobacco"
"Sri Lanka"	2009	"Preferential duty rates for Bangladesh"	"HS07"	240220	1	6	5	100	100	100	0	1	"[50% or Rs. 1,570/ per kg gross weight]"	1	"Cigarettes, containing tobacco"
"Sri Lanka"	2009	"Preferential duty rates for South Asian Association for Regional Cooperation (SAARC)"	"HS07"	240220	1	6	5	100	100	100	0	1	"[50% or Rs. 1,570/ per kg gross weight]"	1	"Cigarettes, containing tobacco"
"Sri Lanka"	2009	"Preferential duty rates for Least Developed Countries under the Asia Pacific Trade Agreement (APTA)"	"HS07"	240220	1	6	5	100	100	100	0	1	"[50% or Rs. 1,570/ per kg gross weight]"	1	"Cigarettes, containing tobacco"
"Sri Lanka"	2008	"Preferential duty rate for India under the Indo-Sri Lanka Free Trade Arrangement (ISFTA)"	"HS07"	240220	1	6	5	100	100	100	0	1	"[50% or Rs. 1570 per Kg.]"	1	"Cigarettes, containing tobacco"
"Sri Lanka"	2008	"Free-trade agreement duty rates for Pakistan"	"HS07"	240220	1	6	5	100	100	100	0	1	"[50% or Rs. 1570 per Kg.]"	1	"Cigarettes, containing tobacco"
"Sri Lanka"	2008	"Free-trade agreement duty rates for South Asian Free Trade Agreement (SAFTA)"	"HS07"	240220	1	6	5	100	100	100	0	1	"[50% or Rs. 1570 per Kg.]"	1	"Cigarettes, containing tobacco"
"Sri Lanka"	2008	"Global System of Trade Preferences (GSTP)"	"HS07"	240220	1	6	5	100	100	100	0	1	"[50% or Rs. 1570 per Kg.]"	1	"Cigarettes, containing tobacco"
"Sri Lanka"	2008	"Preferential duty rates for Asia Pacific Trade Agreement (APTA)"	"HS07"	240220	1	6	5	100	100	100	0	1	"[50% or Rs. 1570 per Kg.]"	1	"Cigarettes, containing tobacco"
"Sri Lanka"	2008	"Preferential duty rates for Least Developed Countries under the South Asia Free Trade Agreement (SAFTA)"	"HS07"	240220	1	6	5	100	100	100	0	1	"[50% or Rs. 1570 per Kg.]"	1	"Cigarettes, containing tobacco"
"Sri Lanka"	2008	"Preferential duty rates for Bangladesh"	"HS07"	240220	1	6	5	100	100	100	0	1	"[50% or Rs. 1570 per Kg.]"	1	"Cigarettes, containing tobacco"
"Sri Lanka"	2008	"Preferential duty rates for South Asian Association for Regional Cooperation (SAARC)"	"HS07"	240220	1	6	5	100	100	100	0	1	"[50% or Rs. 1570 per Kg.]"	1	"Cigarettes, containing tobacco"
"Sri Lanka"	2008	"Preferential duty rates for Least Developed Countries under the Asia Pacific Trade Agreement (APTA)"	"HS07"	240220	1	6	5	100	100	100	0	1	"[50% or Rs. 1570 per Kg.]"	1	"Cigarettes, containing tobacco"
"Swaziland"	2014	"Southern African Customs Union free-trade area"	"HS12"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Swaziland"	2014	"Free-trade agreement duty rate for European Union"	"HS12"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Swaziland"	2014	"Free-trade agreement duty rates for EFTA Countries"	"HS12"	240220	1	2	2	25.4	5.8	45	0	0	""	1	"Cigarettes, containing tobacco"
"Swaziland"	2014	"Southern Africa Development Community (SADC) preferential duty rates"	"HS12"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Swaziland"	2013	"Southern African Customs Union free-trade area"	"HS12"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Swaziland"	2013	"Free-trade agreement duty rate for European Union"	"HS12"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Swaziland"	2013	"Free-trade agreement duty rates for EFTA Countries"	"HS12"	240220	1	2	2	28.1	11.2	45	0	0	""	1	"Cigarettes, containing tobacco"
"Swaziland"	2013	"Southern Africa Development Community (SADC) preferential duty rates"	"HS12"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Swaziland"	2012	"Southern African Customs Union free-trade area"	"HS12"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Swaziland"	2012	"Free-trade agreement duty rate for European Union"	"HS12"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Swaziland"	2012	"Free-trade agreement duty rates for EFTA Countries"	"HS12"	240220	1	2	2	31.05	17.1	45	0	0	""	1	"Cigarettes, containing tobacco"
"Swaziland"	2012	"Southern Africa Development Community (SADC) preferential duty rates"	"HS12"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Swaziland"	2011	"Southern African Customs Union free-trade area"	"HS07"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Swaziland"	2011	"Free-trade agreement duty rate for European Union"	"HS07"	240220	1	2	2	5.85	5.85	5.85	0	0	""	2	"Cigarettes, containing tobacco"
"Swaziland"	2011	"Free-trade agreement duty rates for EFTA Countries"	"HS07"	240220	1	2	2	33.75	22.5	45	0	0	""	1	"Cigarettes, containing tobacco"
"Swaziland"	2011	"Southern Africa Development Community (SADC) preferential duty rates"	"HS07"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Swaziland"	2010	"Southern African Customs Union free-trade area"	"HS07"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Swaziland"	2010	"Free-trade agreement duty rate for European Union"	"HS07"	240220	1	2	2	11.25	11.25	11.25	0	0	""	2	"Cigarettes, containing tobacco"
"Swaziland"	2010	"Free-trade agreement duty rates for EFTA Countries"	"HS07"	240220	1	2	2	36.7	28.4	45	0	0	""	1	"Cigarettes, containing tobacco"
"Swaziland"	2010	"Southern Africa Development Community (SADC) preferential duty rates"	"HS07"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Chinese Taipei"	2014	"Free-trade agreement duty rate for New Zealand"	"HS12"	240220	1	1	1	23.6	23.6	23.6	0	0	""	1	"Cigarettes, containing tobacco"
"Chinese Taipei"	2014	"General duty"	"HS12"	240220	1	1	1	50	50	50	0	0	""	1	"Cigarettes, containing tobacco"
"Chinese Taipei"	2013	"General duty"	"HS07"	240220	1	1	1	50	50	50	0	0	""	1	"Cigarettes, containing tobacco"
"Chinese Taipei"	2012	"General duty"	"HS07"	240220	1	1	1	50	50	50	0	0	""	1	"Cigarettes, containing tobacco"
"Chinese Taipei"	2011	"General duty"	"HS07"	240220	1	1	1	50	50	50	0	0	""	1	"Cigarettes, containing tobacco"
"Chinese Taipei"	2010	"General duty"	"HS07"	240220	1	1	1	50	50	50	0	0	""	1	"Cigarettes, containing tobacco"
"Tanzania"	2014	"East African Community Customs Union free-trade area"	"HS12"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Tanzania"	2013	"East African Community Customs Union free-trade area"	"HS12"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Tanzania"	2012	"East African Community Customs Union free-trade area"	"HS12"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Tanzania"	2011	"East African Community Customs Union free-trade area"	"HS07"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Tanzania"	2010	"East African Community Customs Union free-trade area"	"HS07"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Togo"	2014	"West African Economic and Monetary Union (WAEMU) free-trade area duty rates"	"HS07"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Togo"	2013	"West African Economic and Monetary Union (WAEMU) free trade area duty rates"	"HS07"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Togo"	2012	"West African Economic and Monetary Union (WAEMU) free-trade area duty rates"	"HS07"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Togo"	2011	"West African Economic and Monetary Union (WAEMU) free-trade area duty rates"	"HS07"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Togo"	2010	"West African Economic and Monetary Union (WAEMU) Free Trade Area duty rates"	"HS07"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Trinidad and Tobago"	2008	"Preferential tariff for CARICOM countries"	"HS07"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Trinidad and Tobago"	2008	"Preferential tariff for Colombia"	"HS07"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Uganda"	2014	"East African Community Customs Union free-trade area"	"HS12"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Uganda"	2013	"East African Community Customs Union free-trade area"	"HS12"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Uganda"	2012	"East African Community Customs Union free-trade area"	"HS12"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Uganda"	2011	"East African Community Customs Union free-trade area"	"HS07"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Uganda"	2010	"East African Community Customs Union free-trade area"	"HS07"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Ukraine"	2014	"General duty rates"	"HS12"	240220	1	3	0	""	""	""	0	3	"[1,5 ?/1000ps] [1,5 ?/1000ps] [1,5 ?/1000ps]"	3	"Cigarettes, containing tobacco"
"Ukraine"	2013	"General duty rates"	"HS07"	240220	1	3	0	""	""	""	0	3	"[1,5 ?/1000ps] [1,5 ?/1000ps] [1,5 ?/1000ps]"	3	"Cigarettes, containing tobacco"
"Ukraine"	2012	"General duty rates"	"HS07"	240220	1	3	0	""	""	""	0	3	"[1,5 ? per 1000 items] [1,5 ? per 1000 items] [1,5 ? per 1000 items]"	3	"Cigarettes, containing tobacco"
"Ukraine"	2011	"General duty"	"HS07"	240220	1	3	0	""	""	""	0	3	"[1,5 ?/1000ps] [1,5 ?/1000ps] [1,5 ?/1000ps]"	3	"Cigarettes, containing tobacco"
"Ukraine"	2010	"General duty"	"HS02"	240220	1	3	0	""	""	""	0	3	"[1,5 Euro per 1000 items] [1,5 Euro per 1000 items] [1,5 Euro per 1000 items]"	3	"Cigarettes, containing tobacco"
"United Arab Emirates"	2009	"Free-trade agreement duty rate for the Gulf Co-operation Council countries"	"HS07"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"United Arab Emirates"	2009	"Free-trade agreement duty rate for the League of Arab States"	"HS07"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Uruguay"	2012	"MERCOSUR duty rates"	"HS12"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Uruguay"	2011	"Free-trade agreement duty rate for Bolivia"	"HS07"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Uruguay"	2011	"Free-trade agreement duty rate for Brasil"	"HS07"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Uruguay"	2011	"Free trade agreement duty rate for Chile"	"HS07"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Uruguay"	2011	"Free-trade agreement duty rate for Colombia"	"HS07"	240220	1	1	1	3.6	3.6	3.6	0	0	""	1	"Cigarettes, containing tobacco"
"Uruguay"	2011	"Free-trade agreement duty rate for Ecuador"	"HS07"	240220	1	1	1	5	5	5	0	0	""	1	"Cigarettes, containing tobacco"
"Uruguay"	2011	"Free-trade agreement duty rate for Israel"	"HS07"	240220	1	1	1	6	6	6	0	0	""	1	"Cigarettes, containing tobacco"
"Uruguay"	2011	"Free-trade agreement duty rate for Paraguay"	"HS07"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Uruguay"	2011	"Free-trade agreement duty rate for Peru"	"HS07"	240220	1	1	1	13.4	13.4	13.4	0	0	""	1	"Cigarettes, containing tobacco"
"Uruguay"	2011	"Free-trade agreement duty rate for the Bolivarian Republic of Venezuela"	"HS07"	240220	1	1	1	5.4	5.4	5.4	0	0	""	1	"Cigarettes, containing tobacco"
"Uruguay"	2011	"Free-trade agreement duty rate for Argentina"	"HS07"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Uruguay"	2010	"MERCOSUR duty rates"	"HS07"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Venezuela, Bolivarian Republic of"	2012	"Free trade agreement duty rates for Andean Community (CAN)"	"HS02"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Venezuela, Bolivarian Republic of"	2012	"Prefrential agreement duty rates for Ecuador under Latin American Integration Association (ALADI:AR)"	"HS02"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Venezuela, Bolivarian Republic of"	2012	"Prefrential agreement duty rates for CARICOM countries"	"HS02"	240220	1	2	2	0	0	0	100	0	""	2	"Cigarettes, containing tobacco"
"Venezuela, Bolivarian Republic of"	2012	"Prefrential agreement duty rates for Argentina (AAP)"	"HS02"	240220	1	2	2	14	14	14	0	0	""	2	"Cigarettes, containing tobacco"
"Venezuela, Bolivarian Republic of"	2012	"Prefrential agreement duty rates for Brazil (AAP)"	"HS02"	240220	1	2	2	13.65	13.65	13.65	0	0	""	2	"Cigarettes, containing tobacco"
"Venezuela, Bolivarian Republic of"	2012	"Prefrential agreement duty rates for Cuba (AAP)"	"HS02"	240220	1	2	2	14	14	14	0	0	""	2	"Cigarettes, containing tobacco"
"Venezuela, Bolivarian Republic of"	2012	"Prefrential agreement duty rates for Paraguay (AAP)"	"HS02"	240220	1	2	2	14	14	14	0	0	""	2	"Cigarettes, containing tobacco"
"Venezuela, Bolivarian Republic of"	2012	"Prefrential agreement duty rates for Uruguay (AAP)"	"HS02"	240220	1	2	2	14	14	14	0	0	""	2	"Cigarettes, containing tobacco"
"Viet Nam"	2013	"ASEAN-Australia-New Zealand free-trade area duty rates"	"HS12"	240220	1	3	3	100	100	100	0	0	""	3	"Cigarettes, containing tobacco"
"Viet Nam"	2012	"General duty"	"HS12"	240220	1	3	3	202.5	202.5	202.5	0	0	""	3	"Cigarettes, containing tobacco"
"Viet Nam"	2010	"General duty"	"HS07"	240220	1	2	2	202.5	202.5	202.5	0	0	""	2	"Cigarettes, containing tobacco"
"Zambia"	2013	"Preferential tarrif for COMESA countries members of the FTA"	"HS12"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Zambia"	2013	"Regional tariff preference for Eritrea under COMESA"	"HS12"	240220	1	1	1	5	5	5	0	0	""	1	"Cigarettes, containing tobacco"
"Zambia"	2013	"Regional tariff preference for Ethiopia under COMESA"	"HS12"	240220	1	1	1	22.5	22.5	22.5	0	0	""	1	"Cigarettes, containing tobacco"
"Zambia"	2013	"Regional tariff preference for Uganda under COMESA"	"HS12"	240220	1	1	1	5	5	5	0	0	""	1	"Cigarettes, containing tobacco"
"Zambia"	2013	"Southern Africa Development Community (SADC) preferential duty rates"	"HS12"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Zambia"	2013	"Preferential duty rates for South Africa under SADC"	"HS12"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Zambia"	2012	"Southern Africa Development Community (SADC) preferential duty rates"	"HS12"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Zambia"	2012	"Preferential duty rates for South Africa under SADC"	"HS12"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Zambia"	2011	"Southern Africa Development Community (SADC) preferential duty rates"	"HS07"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Zambia"	2011	"Preferential duty rates for South Africa under SADC"	"HS07"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Zambia"	2010	"Southern Africa Development Community (SADC) preferential duty rates"	"HS07"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Zambia"	2010	"Preferential duty rates for South Africa under SADC"	"HS07"	240220	1	1	1	0	0	0	100	0	""	1	"Cigarettes, containing tobacco"
"Zimbabwe"	2011	"Common Market for Eastern and Southern Africa (COMESA) free trade area duty rates"	"HS07"	240220	1	5	5	80	80	80	0	0	""	5	"Cigarettes, containing tobacco"
"Zimbabwe"	2011	"Free trade duty rates for South Africa"	"HS07"	240220	1	5	5	0	0	0	100	0	""	5	"Cigarettes, containing tobacco"
"Zimbabwe"	2011	"Free trade agreement duty rates for South Africa under the Southern African Development Community (SADC)"	"HS07"	240220	1	5	5	0	0	0	100	0	""	5	"Cigarettes, containing tobacco"
"Zimbabwe"	2011	"Free trade agreement duty rates for Southern African Development Community (SADC) excluding South Africa."	"HS07"	240220	1	5	5	0	0	0	100	0	""	5	"Cigarettes, containing tobacco"
